date,block_time,tx_vol,tx_vol_peeling,tx_vol_changeouts,tx_vol_issues_agg,tx_number,tx_fees,m_total,m_circ_wh_bill,m_circ_mc_lifo,m_circ_mc_fifo
09/01/03,2009-01-03,5000000000.0,0.0,0.0,0.0,1.0,0.0,5000000000.0,0,0,0
09/01/04,,,,,,,,,0,0,0
09/01/05,,,,,,,,,0,0,0
09/01/06,,,,,,,,,0,0,0
09/01/07,,,,,,,,,0,0,0
09/01/08,,,,,,,,,0,0,0
09/01/09,2009-01-09,70000000000.0,0.0,0.0,0.0,14.0,0.0,10000000000.0,0,0,0
09/01/10,2009-01-10,305000000000.0,0.0,0.0,0.0,61.0,0.0,80000000000.0,0,0,0
09/01/11,2009-01-11,465000000000.0,0.0,0.0,0.0,93.0,0.0,385000000000.0,0,0,0
09/01/12,2009-01-12,487900000000.0,5900000000.0,3200000000.0,9100000000.0,101.0,0.0,850000000000.0,5000000000,4000000000,4000000000
09/01/13,2009-01-13,615000000000.0,0.0,0.0,0.0,123.0,0.0,1320000000000.0,0,0,0
09/01/14,2009-01-14,651100000000.0,0.0,0.0,0.0,130.0,0.0,1935000000000.0,6100000000,6100000000,6100000000
09/01/15,2009-01-15,680000000000.0,7500000000.0,5100000000.0,12500000000.0,134.0,0.0,2580000000000.0,40000000000,35000000000,35000000000
09/01/16,2009-01-16,560000000000.0,0.0,0.0,0.0,110.0,0.0,3210000000000.0,20000000000,20000000000,20000000000
09/01/17,2009-01-17,545000000000.0,0.0,0.0,0.0,109.0,0.0,3750000000000.0,0,0,0
09/01/18,2009-01-18,550000000000.0,0.0,0.0,0.0,108.0,0.0,4295000000000.0,15000000000,15000000000,15000000000
09/01/19,2009-01-19,652500000000.0,0.0,0.0,0.0,117.0,0.0,4830000000000.0,77500000000,77500000000,77500000000
09/01/20,2009-01-20,610000000000.0,0.0,0.0,0.0,115.0,0.0,5405000000000.0,40000000000,40000000000,40000000000
09/01/21,2009-01-21,520000000000.0,0.0,0.0,0.0,103.0,0.0,5975000000000.0,10000000000,10000000000,10000000000
