date,block_time,tx_vol,tx_vol_issues_agg,tx_number,tx_fees,m_total,m_circ_wb,m_circ_mc_lifo,m_circ_mc_fifo,dormancy_30,dormancy_90,sdd_30,sdd_90
09/01/03,2009-01-03,5000000000.0,0.0,1.0,5000000000.0,5000000000.0,0,0,0,1.0495500060669503,3.1911708219025434,2677200000000.0,13682230000000.0
09/01/04,,,,,,,0,0,0,1.0768811957775613,3.1911708219025434,2762200000000.0,13682230000000.0
09/01/05,,,,,,,0,0,0,1.0984392336704216,3.1911708219025434,2847200000000.0,13682230000000.0
09/01/06,,,,,,,0,0,0,1.0984392336704216,3.2213688417045234,2847200000000.0,13987230000000.0
09/01/07,,,,,,,0,0,0,1.0984392336704216,3.2213688417045234,2847200000000.0,13987230000000.0
09/01/08,,,,,,,0,0,0,1.0984392336704216,3.2213688417045234,2847200000000.0,13987230000000.0
09/01/09,2009-01-09,70000000000.0,0.0,14.0,70000000000.0,10000000000.0,0,0,0,1.2729000939436568,3.2213688417045234,3902200000000.0,13987230000000.0
09/01/10,2009-01-10,305000000000.0,0.0,61.0,305000000000.0,80000000000.0,0,0,0,1.3703462799834605,3.2213688417045234,4602200000000.0,13987230000000.0
09/01/11,2009-01-11,465000000000.0,0.0,93.0,465000000000.0,385000000000.0,0,0,0,1.5250788945982408,3.2213688417045234,5852200000000.0,13987230000000.0
09/01/12,2009-01-12,487900000000.0,9100000000.0,101.0,470000000000.0,850000000000.0,5000000000,14700000000,14700000000,1.5250788945982408,3.227440947966383,5852200000000.0,14067230000000.0
09/01/13,2009-01-13,615000000000.0,0.0,123.0,615000000000.0,1320000000000.0,0,0,0,1.5225746276740755,3.2413017971014484,5927230000000.0,14412230000000.0
09/01/14,2009-01-14,651100000000.0,0.0,130.0,645000000000.0,1935000000000.0,6100000000,6100000000,6100000000,1.5225746276740755,3.2416493813906384,5927230000000.0,14417230000000.0
09/01/15,2009-01-15,680000000000.0,12500000000.0,134.0,630000000000.0,2580000000000.0,40000000000,44900000000,44900000000,1.5197049584831628,3.2387797121997255,5920030000000.0,14410030000000.0
09/01/16,2009-01-16,560000000000.0,0.0,110.0,540000000000.0,3210000000000.0,20000000000,20000000000,20000000000,1.5012202793819212,3.220295033098484,5865030000000.0,14355030000000.0
09/01/17,2009-01-17,545000000000.0,0.0,109.0,545000000000.0,3750000000000.0,0,0,0,1.5219121669809277,3.2121866273968736,6180030000000.0,14325030000000.0
09/01/18,2009-01-18,550000000000.0,0.0,108.0,535000000000.0,4295000000000.0,15000000000,15000000000,15000000000,1.5651080186848212,3.2121866273968736,6735030000000.0,14325030000000.0
09/01/19,2009-01-19,652500000000.0,0.0,117.0,575000000000.0,4830000000000.0,77500000000,77500000000,77500000000,1.5599309633938707,3.3106244589233453,6710030000000.0,14590030000000.0
09/01/20,2009-01-20,610000000000.0,0.0,115.0,570000000000.0,5405000000000.0,40000000000,40000000000,40000000000,1.5103877731606112,3.3349746925004977,6440030000000.0,14570030000000.0
09/01/21,2009-01-21,520000000000.0,0.0,103.0,510000000000.0,5975000000000.0,10000000000,10000000000,10000000000,1.503388082395117,5.625476543064741,6520030000000.0,24385029999999.992
09/01/22,2009-01-22,505000000000.0,0.0,92.0,455000000000.0,6485000000000.0,50000000000,50000000000,50000000000,1.4986310856457314,5.62358857460034,6490030000000.0,24370029999999.992
09/01/23,2009-01-23,465000000000.0,0.0,86.0,420000000000.0,6940000000000.0,45000000000,45000000000,45000000000,1.473525865236664,5.598483354191272,6320030000000.0,24200029999999.992
09/01/24,2009-01-24,1055000000000.0,0.0,202.0,1005000000000.0,7360000000000.0,50000000000,50000000000,50000000000,1.466077505741692,5.5803492158474315,6360030000000.0,24065029999999.992
